filename,MouseID,Treatmentgroup,DPI,organ,well_position,plate,X293.211_2.933,X440.337_2.765,X442.353_2.823,X141.091_1.54,X203.007_0.309,X240.116_2.324,X249.112_2.768,X272.222_2.957,X296.258_2.976,X311.221_2.932,X345.243_3.095,X366.373_3.699,X546.029_2.319,X607.227_2.771,X608.227_2.768,X690.434_3.14,X692.414_2.985,X708.445_3.006,X709.936_2.18,X720.445_3.09,X737.391_2.399,X776.042_2.398,X776.095_2.398,X776.148_2.398,X776.359_2.398,X819.433_2.399,X867.281_2.399
X511_Group1C_142dpi_LV_top_161_G_A1_P128.mzXML,511,naive,142dpi,LV_top,A1,P128,0.000782811,6.66E-05,0,0.000150701,0.000253054,3.74E-05,0,0.00756717,0.000350953,0.000752368,0.000152189,0.000700181,8.11E-05,0,0,4.00E-05,0.000364239,0.000561014,0,0,8.32E-05,8.07E-05,0.00013599,0.000323401,0.000323462,0.000265376,9.90E-05
X512_Group1C_142dpi_LV_top_162_G_A2_P128.mzXML,512,naive,142dpi,LV_top,A2,P128,0.000543553,0,0,0.000360521,0.000326035,0,0,0.001526131,0.000377629,0.000448609,4.61E-05,0.000137152,7.10E-05,0,0,0,0.000333458,0.000621951,0,0,8.24E-05,0.000120213,0.000151179,0.000243702,0.000214309,0.000353256,0.000135352
X513_Group1C_142dpi_LV_top_163_G_A3_P128.mzXML,513,naive,142dpi,LV_top,A3,P128,0.000573921,0.000188732,5.51E-05,0.000115526,7.30E-05,0,0,0.003657633,0.000186536,0.000502553,0.000268739,0.001049711,0.000124626,0,0,5.71E-05,0.000198338,0.000582842,0,2.72E-05,4.20E-05,5.61E-05,0.000157763,0.000178871,0.000202296,0.000203821,9.23E-05
X514_Group1C_142dpi_LV_top_164_G_A4_P128.mzXML,514,naive,142dpi,LV_top,A4,P128,0.000671396,0,0,0.00024924,0.000333486,0,0,0.001514945,0.000306359,0.000682873,4.59E-05,6.30E-05,7.68E-05,0,0,5.34E-05,0.000369965,0.000774688,0,0.00015684,6.51E-05,7.42E-05,0.000248777,0.00030866,0.000307198,0.000339938,9.93E-05
X515_Group1C_142dpi_LV_top_165_G_A5_P128.mzXML,515,naive,142dpi,LV_top,A5,P128,0.000882907,9.16E-05,2.43E-05,0.000166425,0,3.27E-05,1.86E-05,0.001143819,0.000181573,0.000850293,0.000384379,0.000880578,0.000153374,0,0,0,4.75E-05,0.000321481,0,0,0.000196736,0.000188043,0.000370402,0.000512506,0.000582393,0.000442618,0.000209434
X531_Group1C_142dpi_LV_top_166_G_A6_P128.mzXML,531,naive,142dpi,LV_top,A6,P128,0.000638694,7.23E-05,3.81E-05,0.000142641,0,3.77E-05,4.46E-05,0.004051929,0.000244947,0.000494473,0.000302178,0,0.000345673,2.02E-05,4.49E-05,7.50E-05,5.03E-05,0.000377722,0,0,0.000247236,0.000247236,0.000430374,0.000666165,0.000762312,0.00050363,0.000338805
X532_Group1C_142dpi_LV_top_167_G_A7_P128.mzXML,532,naive,142dpi,LV_top,A7,P128,0.00051052,0.000107743,4.79E-05,0.000148967,6.21E-05,0,0.00010948,0.000935383,0.000287227,0.000441994,6.58E-05,0.000493389,0,0,0.000138654,0.000400878,0.000465978,0,0,0.000326379,2.85E-05,0,6.77E-05,0.000117461,9.41E-05,0.000147904,4.28E-05
X533_Group1C_142dpi_LV_top_168_G_A8_P128.mzXML,533,naive,142dpi,LV_top,A8,P128,0.000350524,0.000112779,0.000128514,9.34E-05,0,0,6.53E-05,0.000541719,0.000184514,0.000307071,0,0.000938594,2.90E-05,0,8.30E-05,5.57E-05,0.000282801,0.000559101,3.47E-05,0,5.71E-05,0,0.000127218,0.000170687,0.00021334,0.0001741,7.82E-05
X534_Group1C_142dpi_LV_top_169_G_A9_P128.mzXML,534,naive,142dpi,LV_top,A9,P128,0.000555962,3.98E-05,0,0.000337194,0.00016656,0,0.000129534,0.000583531,0.000441417,0.00059272,8.39E-05,0.000234056,7.84E-05,0,0.000172031,0.000334229,0.000311522,0.000702994,0,0.000242589,4.90E-05,8.92E-05,0.000191145,0.000194474,0.000306018,0.000368797,0.000105409
X535_Group1C_142dpi_LV_top_170_G_A10_P128.mzXML,535,naive,142dpi,LV_top,A10,P128,0.000514501,0,0,0.000176902,0.000247122,0,0,0.000671746,0.000361244,0.000462607,0,0.000304768,0,0,4.73E-05,4.57E-05,0.000348892,0.000318932,0,0,7.35E-05,0.000160432,0.000190363,0.000308303,0.000324292,0.000337835,0.000196282
